asset_id,ticker,asset_name,category,homepage_market_cap,exchange_market_cap,difference,difference_pct_of_total_gap,difference_reason,exchange_price_source,canonical_status,recommended_action
rally-macallan2,MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,29000.0,29000.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-macallan1,MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,12500.0,12500.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,26600.0,26600.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-mosasaur,MOSASAUR,Mosasaur,fossils,34200.0,34200.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,19800.0,19800.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,20000.0,20000.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-smurf,SMURF,Rolex Submariner Smurf,watches,36100.0,36100.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-rolex-daytona,DAYTONA,Rolex Daytona Reference 116500LN,watches,188000.0,188000.0,0.0,0.0,share_count_mismatch,observed_price,active_tradable,no_action
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,27500.0,27500.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,77550.0,77550.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
