asset_id,ticker,exit_type,exit_status,exit_announcement_date,last_trading_date,exit_valuation_date,exit_effective_date,settlement_date,exit_price_per_share,exit_total_value,shares_at_exit,last_observed_price_before_exit,last_observed_market_cap_before_exit,payout_source,source_reference,notes,is_confirmed,data_quality_flag,terminal_price,terminal_value,terminal_price_source,terminal_price_quality,terminal_return,exit_premium_vs_last_trade,exit_return_vs_offering,annualized_exit_return
sec-rally-77le1,77LE1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,185000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,,True,,92.5,185000.0,confirmed_total_payout_divided_by_shares,confirmed,,,1.380952380952381,0.30862468279039845
sec-rally-80pn1,80PN1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,58000.0,5000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,11.6,58000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.20833333333333326,
sec-rally-80pn1,80PN1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,58000.0,5000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,,True,,11.6,58000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.20833333333333326,
sec-rally-85ft1,85FT1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,185000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,92.5,185000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.1212121212121211,
sec-rally-85ft1,85FT1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,185000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,,True,,92.5,185000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.1212121212121211,
sec-rally-88bm1,88BM1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,141000.0,3000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,47.0,141000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.0,
sec-rally-88bm1,88BM1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,141000.0,3000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,,True,,47.0,141000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.0,
sec-rally-88lj1,88LJ1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,135000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,67.5,135000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.0,
sec-rally-88lj1,88LJ1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,135000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,,True,,67.5,135000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.0,
sec-rally-88pt1,88PT1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,62000.0,2200.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,28.181818181818183,62000.0,confirmed_total_payout_divided_by_shares,confirmed,,,-0.06060606060606055,
sec-rally-88pt1,88PT1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,62000.0,2200.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,,True,,28.181818181818183,62000.0,confirmed_total_payout_divided_by_shares,confirmed,,,-0.06060606060606055,
sec-rally-95bl1,95BL1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,130000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,65.0,130000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.09704641350210963,
sec-rally-95bl1,95BL1,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,130000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,,True,,65.0,130000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.09704641350210963,
,,other,settled,2023-12-21,2023-12-21,2023-12-21,2023-12-21,2023-12-21,,185000.0,,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,,,missing,blocking,,,,
sec-rally-69bm1,69BM1,other,settled,2023-12-28,2023-12-28,2023-12-28,2023-12-28,2023-12-28,,130000.0,2000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880423000016/form1u.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880423000016/form1u.htm,,True,,65.0,130000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.13043478260869557,0.0385125509472537
sec-rally-84jordan,84JORDAN,other,settled,2024-01-11,2024-01-11,2024-01-11,2024-01-11,2024-01-11,,513985.0,15000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,34.26566666666667,513985.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.37062666666666666,
sec-rally-79gretzky,79GRETZKY,other,settled,2024-01-31,2024-01-31,2024-01-31,2024-01-31,2024-01-31,,920000.0,20000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,46.0,920000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.1499999999999999,
sec-rally-potter,POTTER,other,settled,2024-02-01,2024-02-01,2024-02-01,2024-02-01,2024-02-01,,132500.0,3000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,44.166666666666664,132500.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.8402777777777777,
sec-rally-henderson,HENDERSON,other,settled,2024-02-29,2024-02-29,2024-02-29,2024-02-29,2024-02-29,,121001.11,27000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,4.481522592592593,121001.11,confirmed_total_payout_divided_by_shares,confirmed,,,-0.10369548148148144,
sec-rally-85jordan,85JORDAN,other,settled,2024-03-05,2024-03-05,2024-03-05,2024-03-05,2024-03-05,,275000.0,10000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,,True,,27.5,275000.0,confirmed_total_payout_divided_by_shares,confirmed,,,0.10000000000000009,
