asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,status,share_count,offering_date,offering_price_usd,offering_valuation_usd,acquisition_cost_usd,rally_url,sec_filing_url,source_type,source_url,source_notes,last_quote_observed_at,data_quality_status,data_quality_warnings
sec-rally-hamilton1,HAMILTON1,2020 Topps Dynasty Triple Relic #ILH Lewis Hamilton Autographed Patch Card graded PSA 10,cards,cards,,,2020.0,,,Topps Dynasty Triple Relic #ILH Lewis Hamilton Autographed Patch Card graded PSA,,trading,5000.0,2025-09-29,7.0,35000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-henderson,HENDERSON,1980 Topps #482 Rickey Henderson Rookie Card graded PSA GEM MINT 10,cards,cards,,,1980.0,,,Topps #482 Rickey Henderson Rookie Card graded PSA GEM MINT 10,,exited,27000.0,2025-09-29,5.0,135000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-homer,HOMER,1993 Skybox Simpsons Homer Sketch graded PSA 10,cards,cards,,,1993.0,,Box,Skybox Simpsons Homer Sketch graded PSA 10,,trading,3000.0,2022-06-02,7.0,21000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-honus,HONUS,1909-1911 T206 Honus Wagner Card,cards,cards,,,1911.0,,,1909-1911 T206 Honus Wagner Card,,trading,10000.0,2025-09-29,52.0,520000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-honus2,HONUS2,1910 Tip-Top Bread Honus Wagner Card graded PSA 5,cards,cards,,,1910.0,,,Tip-Top Bread Honus Wagner Card graded PSA 5,,exited,10000.0,2025-09-29,10.0,100000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-junglebox,JUNGLEBOX,1999 Pokémon Jungle 1st Edition Booster Box,cards,pokemon,,,1999.0,,Box,Pokemon Jungle 1st Edition Booster,,trading,6900.0,2025-09-29,5.0,34500.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-lebron,LEBRON,A collection of ten (10) LeBron James game worn Los Angeles Lakers jerseys,cards,lebron,,,,,,A collection of ten (10) LeBron James game worn Los Angeles Lakers jerseys,,trading,50000.0,2024-09-27,10.0,500000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-ljkobe,LJKOBE,2002 LeBron James High School Game Worn Sneakers Gifted by Kobe Bryant.,cards,lebron,,,2002.0,,,LeBron James High School Game Worn Sneakers Gifted by Kobe Bryant.,,exited,18000.0,2025-09-29,10.0,180000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-maradona,MARADONA,1979 Panini Calciatori Soccer Diego Maradona Rookie RC #312 graded PSA 9 MINT,cards,cards,,,1979.0,,,Panini Calciatori Soccer Diego Maradona Rookie RC #312 graded PSA 9 MINT,,trading,2000.0,2025-09-29,7.0,14000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-mjticket,MJTICKET,1984 Michael Jordan Debut Ticket graded PSA 5,cards,jordan,,,1984.0,,,Michael Jordan Debut Ticket graded PSA 5,,trading,20000.0,2025-09-29,8.0,160000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-moonpass,MOONPASS,1969 NASA Apollo 11 Mission To The Moon Ticket Pass Graded PSA 8,cards,cards,,,1969.0,,,NASA Apollo 11 Mission To The Moon Ticket Pass Graded PSA 8,,trading,1300.0,2025-09-29,5.0,6500.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-neobox,NEOBOX,2000 Pokémon Neo Genesis 1st Edition Set Sealed Booster Box,cards,pokemon,,,2000.0,,Box,Pokemon Neo Genesis 1st Edition Set Sealed Booster,,exited,10000.0,2025-09-29,4.5,45000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-nicklaus1,NICKLAUS1,1973 Panini #375 Jack Nicklaus Rookie Card Graded by PSA GEM MT 10,cards,cards,,,1973.0,,,Panini #375 Jack Nicklaus Rookie Card Graded by PSA GEM MT 10,,trading,4000.0,2025-09-29,10.0,40000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-obamaball,OBAMABALL,"2010 Basketball Signed by Barack Obama, Kobe Bryant, LeBron James, Magic Johnson, and Carmelo Anthony",cards,lebron,,,2010.0,,,"Basketball Signed by Barack Obama, Kobe Bryant, LeBron James, Magic Johnson, and",,trading,10500.0,2022-06-02,10.0,105000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-ohtani1,OHTANI1,2018 Bowman Chrome Shohei Ohtani Orange Refractors Pitching Autographed Rookie Card graded BGS 9.5,cards,cards,,,2018.0,,,Bowman Chrome Shohei Ohtani Orange Refractors Pitching Autographed Rookie Card g,,exited,10000.0,2025-09-29,9.0,90000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-ohtani2,OHTANI2,2018 Bowman Chrome Shohei Ohtani Orange Refractors Batting Autographed Rookie Card graded BGS 9.5,cards,cards,,,2018.0,,,Bowman Chrome Shohei Ohtani Orange Refractors Batting Autographed Rookie Card gr,,exited,9125.0,2025-09-29,8.0,73000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
