metric,value,notes
rally_assets,81,Unified Rally investable asset rows
comparable_sales,6,Unified comparable sale rows
assets_with_no_comps,81,Rally assets without matched realized sale comps
comps_missing_sale_price,0,Comps missing realized sale price
comps_missing_estimate,6,Comps missing estimate low or high
comps_missing_size_material_color,6,Comps missing at least one matching attribute
rows_with_invalid_dates,0,/workspace/rally-terminal/data/diagnostics/import_errors.csv
duplicate_possible_lots,0,"Same source, auction, title, date, and sale price"
