exit_id,asset_id,series_name,sale_price,sale_date,realized_return,source_url,source_confidence
exit-0001688804-0001688804-25-000007-71ALI,,Series #71ALI,40000.0,2020-02-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-APROAK,,Series #APROAK,110000.0,2021-06-25,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-88JORDAN,,Series #88JORDAN,61500.0,2022-12-02,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-33RUTH,,Series #33RUTH,180000.0,2024-06-02,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-98JORDAN,,Series #98JORDAN,165000.0,2020-05-11,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-24RUTHBAT,,Series #24RUTHBAT,270000.0,2022-03-21,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-86JORDAN,,Series #86JORDAN,80000.0,2020-06-01,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-HULK1,,Series #HULK1,116000.0,2021-07-19,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-38DIMAGGIO,,Series #38DIMAGGIO,41409.0,2024-08-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-BATMAN1,,Series #BATMAN1,103950.0,2022-10-03,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-POKEMON1,,Series #POKEMON1,260005.0,2024-06-02,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-50JACKIE,,Series #50JACKIE,13000.0,2020-10-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-TMNT1,,Series #TMNT1,100000.0,2021-06-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
