comp_id,source,auction_name,auction_url,sale_date,brand,model,size,material,color,hardware,condition,year,estimate_low_usd,estimate_high_usd,realized_price_usd,currency,title,lot_url,raw_text_path,confidence_score
sothebys-handbags-accessories-96,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Birkin,35.0,Epsom,Lime and Gris Perle,Palladium Hardware,,2011.0,8000.0,14000.0,12700.0,USD,"Limited Edition Lime and Gris Perle Epsom Verso Candy Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999
sothebys-handbags-accessories-99,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Lindy,34.0,Swift,Vert Anis,Palladium Hardware,,2007.0,3000.0,5000.0,3556.0,USD,"Vert Anis Swift Lindy 34 Palladium Hardware, 2007",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999
sothebys-handbags-accessories-100,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Birkin,30.0,Chevre,Menthe and Vert Anis Chevre Mysore HSS,Gold Hardware,,2013.0,11000.0,18000.0,13970.0,USD,"Menthe and Vert Anis Chèvre Mysore HSS Birkin 30 Gold Hardware, 2013",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.83
sothebys-handbags-accessories-101,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Kelly,,Swift,Vert Yucca,Gold Hardware,,2024.0,8000.0,14000.0,8890.0,USD,"Vert Yucca Swift Kelly Moove Gold Hardware, 2024",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.8099999999999999
sothebys-handbags-accessories-110,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,,,Crocodile,Black Shiny,Gold Hardware,,1950.0,8000.0,12000.0,3175.0,USD,"Vintage Black Shiny Crocodile Vanity Case Gold Hardware, circa 1950",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.61
sothebys-handbags-accessories-117,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,,,,Les Necessaires d'Hermes Ivory Onyx and Oak Large Satellite Coffee Table,,,,8000.0,12000.0,7620.0,USD,Les Necessaires d'Hermès Ivory Onyx and Oak Large Satellite Coffee Table,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.53
sothebys-handbags-accessories-62,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Togo,Black,Gold Hardware,,2022.0,10000.0,16000.0,40640.0,USD,"Black Togo Birkin 35 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-63,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Constance,18.0,Epsom,Black,Gold Hardware,,2025.0,8000.0,14000.0,19050.0,USD,"Black Epsom Mini Constance 18 Brushed Gold Hardware, 2025",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-64,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,35.0,Box,Black,Gold Hardware,,1985.0,4000.0,8000.0,7620.0,USD,"Vintage Black Box Kelly 35 Sellier Gold Hardware, 1985",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-66,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,28.0,Porosus Crocodile,Black Shiny,Gold Hardware,,1995.0,10000.0,16000.0,16510.0,USD,"Vintage Black Shiny Porosus Crocodile Kelly 28 Sellier Gold Hardware, 1995",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-67,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Constance,23.0,Lizard,Black Shiny,Gold Hardware,,,5000.0,8000.0,9525.0,USD,"Vintage Black Shiny Lizard Constance 23 Gold Hardware, 1960s",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-69,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Togo,Black,Gold Hardware,,2018.0,8000.0,14000.0,12065.0,USD,"Black Togo Birkin 35 Rose Gold Hardware, 2018",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-70,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,,,18K White Gold and Diamond Precieux,,,2023.0,30000.0,40000.0,25400.0,USD,"18K White Gold and Diamond Précieux Kelly Pendant Necklace, 2023",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.73
sothebys-handbags-accessories-71,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Lindy,20.0,Swift,White,Palladium Hardware,,2023.0,6000.0,9000.0,7620.0,USD,"White Swift Mini Lindy 20 Palladium Hardware, 2023",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-72,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Togo,White,Palladium Hardware,,2011.0,8000.0,14000.0,11430.0,USD,"White Togo Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-73,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,30.0,Epsom,White,Gold Hardware,,2014.0,11000.0,18000.0,20320.0,USD,"White Epsom Birkin 30 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-76,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,25.0,Togo,Gris Pantin,Gold Hardware,,2025.0,16000.0,25000.0,31750.0,USD,"Gris Pantin Togo Birkin 25 Gold Hardware, 2025",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-77,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,40.0,Clemence,Bleu Glacier,Palladium Hardware,,2014.0,6000.0,12000.0,11430.0,USD,"Bleu Glacier Clèmence Birkin 40 Palladium Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-78,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,30.0,Clemence,Bleu Azur,Palladium Hardware,,2014.0,11000.0,18000.0,17780.0,USD,"Bleu Azur Clèmence Birkin 30 Palladium Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-79,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,30.0,Ostrich,Bleu Mykonos,Palladium Hardware,,2011.0,12000.0,18000.0,22860.0,USD,"Bleu Mykonos Ostrich Birkin 30 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-81,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,35.0,Togo,Bleu Paradis,Palladium Hardware,,2014.0,5000.0,9000.0,6350.0,USD,"Bleu Paradis Togo Kelly 35 Retourné Palladium Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-83,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,30.0,Epsom,Bleu Zanzibar,Gold Hardware,,2017.0,10000.0,16000.0,16510.0,USD,"Bleu Zanzibar Epsom Birkin 30 Gold Hardware, 2017",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
