asset_id,ticker,comp_id,rank,similarity_score,matched_fields,realized_price_usd,sale_date,source,title,lot_url
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-76,3,0.65,"brand, model, size",31750.0,2025-12-15,Sothebys,"Gris Pantin Togo Birkin 25 Gold Hardware, 2025",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-60,4,0.65,"brand, model, size",27940.0,2026-02-12,Sothebys,"Gold Togo Birkin 25 Gold Hardware, 2021",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-111,5,0.5,"brand, model",44450.0,2025-12-15,Sothebys,"Gris Eléphant Matte Porosus Crocodile Birkin 30 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-62,6,0.5,"brand, model",40640.0,2025-12-15,Sothebys,"Black Togo Birkin 35 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-108,7,0.5,"brand, model",25400.0,2025-12-15,Sothebys,"Fauve Matte Niloticus Crocodile Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-79,8,0.5,"brand, model",22860.0,2025-12-15,Sothebys,"Bleu Mykonos Ostrich Birkin 30 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-73,9,0.5,"brand, model",20320.0,2025-12-15,Sothebys,"White Epsom Birkin 30 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-78,10,0.5,"brand, model",17780.0,2025-12-15,Sothebys,"Bleu Azur Clèmence Birkin 30 Palladium Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-83,11,0.5,"brand, model",16510.0,2025-12-15,Sothebys,"Bleu Zanzibar Epsom Birkin 30 Gold Hardware, 2017",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-91,12,0.5,"brand, model",16510.0,2025-12-15,Sothebys,"Bleu Encre Clèmence Birkin 30 Gold Hardware, 2018",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-80,13,0.5,"brand, model",15240.0,2026-02-12,Sothebys,"Etain Epsom Birkin 35 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-119,14,0.5,"brand, model",15240.0,2025-12-15,Sothebys,"Etoupe Togo Birkin 35 Palladium Hardware, 2019",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-100,15,0.5,"brand, model",13970.0,2026-02-12,Sothebys,"Menthe and Vert Anis Chèvre Mysore HSS Birkin 30 Gold Hardware, 2013",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-96,16,0.5,"brand, model",12700.0,2026-02-12,Sothebys,"Limited Edition Lime and Gris Perle Epsom Verso Candy Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-103,17,0.5,"brand, model",12700.0,2025-12-15,Sothebys,"Raisin Clèmence Birkin 30 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-69,18,0.5,"brand, model",12065.0,2025-12-15,Sothebys,"Black Togo Birkin 35 Rose Gold Hardware, 2018",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-72,19,0.5,"brand, model",11430.0,2025-12-15,Sothebys,"White Togo Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinblu,BIRKINBLU,sothebys-handbags-accessories-77,20,0.5,"brand, model",11430.0,2025-12-15,Sothebys,"Bleu Glacier Clèmence Birkin 40 Palladium Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-62,1,0.65,"brand, model, size",40640.0,2025-12-15,Sothebys,"Black Togo Birkin 35 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-108,2,0.65,"brand, model, size",25400.0,2025-12-15,Sothebys,"Fauve Matte Niloticus Crocodile Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-80,3,0.65,"brand, model, size",15240.0,2026-02-12,Sothebys,"Etain Epsom Birkin 35 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-119,4,0.65,"brand, model, size",15240.0,2025-12-15,Sothebys,"Etoupe Togo Birkin 35 Palladium Hardware, 2019",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-96,5,0.65,"brand, model, size",12700.0,2026-02-12,Sothebys,"Limited Edition Lime and Gris Perle Epsom Verso Candy Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-69,6,0.65,"brand, model, size",12065.0,2025-12-15,Sothebys,"Black Togo Birkin 35 Rose Gold Hardware, 2018",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-72,7,0.65,"brand, model, size",11430.0,2025-12-15,Sothebys,"White Togo Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-84,8,0.65,"brand, model, size",11430.0,2025-12-15,Sothebys,"Bleu du Nord and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2013",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-120,9,0.65,"brand, model, size",10795.0,2025-12-15,Sothebys,"Gris Tourterelle Togo Birkin 35 Palladium Hardware, 2007",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-112,10,0.65,"brand, model, size",10160.0,2025-12-15,Sothebys,"Noisette Courchevel Birkin 35 Gold Hardware, 2002",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-121,11,0.65,"brand, model, size",10160.0,2025-12-15,Sothebys,"Gris Etain and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-89,12,0.65,"brand, model, size",8890.0,2025-12-15,Sothebys,"Bleu Colvert Fjord Birkin 35 Palladium Hardware, 2012",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-95,13,0.65,"brand, model, size",7620.0,2025-12-15,Sothebys,"Bleu Encre Novillo Birkin 35 Gold Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-74,14,0.5,"brand, model",63500.0,2026-02-12,Sothebys,"Limited Edition Black Volupto Rock Birkin 25 Palladium Hardware, 2024",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-109,15,0.5,"brand, model",53340.0,2025-12-15,Sothebys,"Havane Shiny Niloticus Crocodile Birkin 25 Gold Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-111,16,0.5,"brand, model",44450.0,2025-12-15,Sothebys,"Gris Eléphant Matte Porosus Crocodile Birkin 30 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-76,17,0.5,"brand, model",31750.0,2025-12-15,Sothebys,"Gris Pantin Togo Birkin 25 Gold Hardware, 2025",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-60,18,0.5,"brand, model",27940.0,2026-02-12,Sothebys,"Gold Togo Birkin 25 Gold Hardware, 2021",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-79,19,0.5,"brand, model",22860.0,2025-12-15,Sothebys,"Bleu Mykonos Ostrich Birkin 30 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkinbor,BIRKINBOR,sothebys-handbags-accessories-73,20,0.5,"brand, model",20320.0,2025-12-15,Sothebys,"White Epsom Birkin 30 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-79,1,0.8,"brand, model, size, material",22860.0,2025-12-15,Sothebys,"Bleu Mykonos Ostrich Birkin 30 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-111,2,0.65,"brand, model, size",44450.0,2025-12-15,Sothebys,"Gris Eléphant Matte Porosus Crocodile Birkin 30 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-73,3,0.65,"brand, model, size",20320.0,2025-12-15,Sothebys,"White Epsom Birkin 30 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-78,4,0.65,"brand, model, size",17780.0,2025-12-15,Sothebys,"Bleu Azur Clèmence Birkin 30 Palladium Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-83,5,0.65,"brand, model, size",16510.0,2025-12-15,Sothebys,"Bleu Zanzibar Epsom Birkin 30 Gold Hardware, 2017",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-91,6,0.65,"brand, model, size",16510.0,2025-12-15,Sothebys,"Bleu Encre Clèmence Birkin 30 Gold Hardware, 2018",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-100,7,0.65,"brand, model, size",13970.0,2026-02-12,Sothebys,"Menthe and Vert Anis Chèvre Mysore HSS Birkin 30 Gold Hardware, 2013",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-103,8,0.65,"brand, model, size",12700.0,2025-12-15,Sothebys,"Raisin Clèmence Birkin 30 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-74,9,0.5,"brand, model",63500.0,2026-02-12,Sothebys,"Limited Edition Black Volupto Rock Birkin 25 Palladium Hardware, 2024",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-109,10,0.5,"brand, model",53340.0,2025-12-15,Sothebys,"Havane Shiny Niloticus Crocodile Birkin 25 Gold Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-62,11,0.5,"brand, model",40640.0,2025-12-15,Sothebys,"Black Togo Birkin 35 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-76,12,0.5,"brand, model",31750.0,2025-12-15,Sothebys,"Gris Pantin Togo Birkin 25 Gold Hardware, 2025",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-60,13,0.5,"brand, model",27940.0,2026-02-12,Sothebys,"Gold Togo Birkin 25 Gold Hardware, 2021",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-108,14,0.5,"brand, model",25400.0,2025-12-15,Sothebys,"Fauve Matte Niloticus Crocodile Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-80,15,0.5,"brand, model",15240.0,2026-02-12,Sothebys,"Etain Epsom Birkin 35 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-119,16,0.5,"brand, model",15240.0,2025-12-15,Sothebys,"Etoupe Togo Birkin 35 Palladium Hardware, 2019",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-96,17,0.5,"brand, model",12700.0,2026-02-12,Sothebys,"Limited Edition Lime and Gris Perle Epsom Verso Candy Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-69,18,0.5,"brand, model",12065.0,2025-12-15,Sothebys,"Black Togo Birkin 35 Rose Gold Hardware, 2018",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-72,19,0.5,"brand, model",11430.0,2025-12-15,Sothebys,"White Togo Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-birkintan,BIRKINTAN,sothebys-handbags-accessories-77,20,0.5,"brand, model",11430.0,2025-12-15,Sothebys,"Bleu Glacier Clèmence Birkin 40 Palladium Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en
rally-faubourg,FAUBOURG,sothebys-handbags-accessories-74,1,0.25,brand,63500.0,2026-02-12,Sothebys,"Limited Edition Black Volupto Rock Birkin 25 Palladium Hardware, 2024",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots
