date,category,category_market_cap,active_asset_count,direct_observation_market_cap,carried_forward_market_cap,price_effect,new_issuance,removed_capital,pl_contribution,total_market_cap,category_weight,prior_category_market_cap,period_return,return_index,frequency,calculated_at,calculation_version
2020-10-13,handbags,494500.0,6,0.0,494500.0,0.0,0.0,0.0,0.0,882000.0,0.5606575963718821,494500.0,0.0,102.06398348813211,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-10-13,watches,237900.0,6,28000.0,209900.0,0.0,0.0,0.0,0.0,882000.0,0.26972789115646256,237900.0,0.0,123.02969237015115,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-10-13,wine and whiskey,149600.0,4,0.0,149600.0,0.0,0.0,0.0,0.0,882000.0,0.16961451247165532,149600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-10-20,handbags,494500.0,6,0.0,494500.0,0.0,0.0,0.0,0.0,882000.0,0.5606575963718821,494500.0,0.0,102.06398348813211,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-10-20,watches,237900.0,6,27000.0,210900.0,0.0,0.0,0.0,0.0,882000.0,0.26972789115646256,237900.0,0.0,123.02969237015115,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-10-20,wine and whiskey,149600.0,4,0.0,149600.0,0.0,0.0,0.0,0.0,882000.0,0.16961451247165532,149600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-01,handbags,494500.0,6,0.0,494500.0,0.0,0.0,0.0,0.0,1171500.0,0.422108408023901,494500.0,0.0,102.06398348813211,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-01,watches,423900.0,8,0.0,237900.0,0.0,186000.0,0.0,0.0,1171500.0,0.3618437900128041,237900.0,0.0,123.02969237015115,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-01,wine and whiskey,253100.0,6,0.0,149600.0,0.0,103500.0,0.0,0.0,1171500.0,0.21604780196329493,149600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-17,handbags,494500.0,6,0.0,494500.0,0.0,0.0,0.0,0.0,1171500.0,0.422108408023901,494500.0,0.0,102.06398348813211,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-17,watches,423900.0,8,36000.0,387900.0,0.0,0.0,0.0,0.0,1171500.0,0.3618437900128041,423900.0,0.0,123.02969237015115,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-17,wine and whiskey,253100.0,6,0.0,253100.0,0.0,0.0,0.0,0.0,1171500.0,0.21604780196329493,253100.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-20,handbags,494500.0,6,0.0,494500.0,0.0,0.0,0.0,0.0,1331500.0,0.37138565527600453,494500.0,0.0,102.06398348813211,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-20,watches,583900.0,9,0.0,423900.0,0.0,160000.0,0.0,0.0,1331500.0,0.4385279759669546,423900.0,0.0,123.02969237015115,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-11-20,wine and whiskey,253100.0,6,0.0,253100.0,0.0,0.0,0.0,0.0,1331500.0,0.19008636875704094,253100.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-01,handbags,556000.0,7,60000.0,442000.0,7500.0,54000.0,0.0,7500.0,1411600.0,0.3938792859166903,494500.0,0.015166835187057526,103.61197110423117,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-01,watches,584000.0,9,36000.0,548000.0,100.00000000000142,0.0,0.0,100.00000000000142,1411600.0,0.4137149334088977,583900.0,0.00017126220243190993,123.05076270623098,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
