asset_id,period_end,observed_at,price_per_share,market_cap,event_type,source_type,source_reference,collected_at,researcher,precision_status,notes,volume,frequency,implied_market_cap,warning_reason
rally-03tache,2022-06-30,2022-06-30T00:00:00Z,3.9,60840.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,60840.0,chart_observation_marked_exact
rally-03tache,2022-09-30,2022-09-26T00:00:00Z,4.05,63180.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,63180.0,chart_observation_marked_exact
rally-03tache,2022-12-31,2022-12-29T00:00:00Z,4.6,71760.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,71760.0,chart_observation_marked_exact
rally-03tache,2023-03-31,2023-03-27T00:00:00Z,5.0,78000.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,78000.0,chart_observation_marked_exact
rally-03tache,2023-06-30,2023-06-29T00:00:00Z,4.85,75660.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,75660.0,chart_observation_marked_exact
rally-03tache,2023-09-30,2023-09-25T00:00:00Z,4.75,74100.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,74100.0,chart_observation_marked_exact
rally-03tache,2023-12-31,2023-12-28T00:00:00Z,4.3,67080.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,67080.0,chart_observation_marked_exact
rally-03tache,2024-03-31,2024-03-25T00:00:00Z,4.75,74100.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,74100.0,chart_observation_marked_exact
rally-03tache,2024-06-30,2024-06-27T00:00:00Z,4.8,74880.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,74880.0,chart_observation_marked_exact
rally-03tache,2024-09-30,2024-09-30T00:00:00Z,4.5,70200.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,70200.0,chart_observation_marked_exact
rally-03tache,2024-12-31,2024-12-26T00:00:00Z,4.25,66300.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,66300.0,chart_observation_marked_exact
rally-03tache,2025-03-31,2025-03-31T00:00:00Z,4.05,63180.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,63180.0,chart_observation_marked_exact
rally-03tache,2025-06-30,2025-06-26T00:00:00Z,4.25,66300.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,66300.0,chart_observation_marked_exact
rally-03tache,2025-09-30,2025-09-29T00:00:00Z,4.25,66300.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,66300.0,chart_observation_marked_exact
rally-03tache,2025-12-31,2025-12-31T00:00:00Z,4.05,63180.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,63180.0,chart_observation_marked_exact
